date,meantemp,humidity,wind_speed,meanpressure
01/12/2016,19,78,8,1014
30/11/2016,17,70,9,1016
29/11/2016,15,64,8,1016
28/11/2016,16,68,4,1016
25/11/2016,15,68,8,1016
23/11/2016,15,72,9,1016
22/11/2016,16,64,4,1017
21/11/2016,16,70,2,1020
18/11/2016,16,67,6,1022
17/11/2016,17,66,7,1021
16/11/2016,18,68,6,1021
15/11/2016,20,57,10,1018
14/11/2016,21,64,9,1017
11/11/2016,21,71,6,1016
10/11/2016,22,66,6,1013
09/11/2016,23,60,7,1005
08/11/2016,22,69,12,1007
07/11/2016,19,57,7,1012
04/11/2016,19,43,14,1015
03/11/2016,19,40,17,1016
02/11/2016,19,50,12,1014
01/11/2016,19,59,11,1012
31/10/2016,20,58,5,1014
28/10/2016,23,52,4,1013
27/10/2016,24,48,6,1013
26/10/2016,24,54,6,1012
25/10/2016,21,43,7,1011
24/10/2016,19,43,8,1010
21/10/2016,20,41,10,1011
20/10/2016,20,42,10,1010
19/10/2016,23,42,6,1007
18/10/2016,22,53,10,1009
17/10/2016,21,69,8,1007
14/10/2016,20,68,11,1007
13/10/2016,19,60,6,1010
12/10/2016,17,57,8,1015
11/10/2016,17,49,9,1015
10/10/2016,18,56,5,1017
07/10/2016,20,55,7,1014
06/10/2016,24,49,6,1011
05/10/2016,21,60,11,1011
04/10/2016,25,46,7,1010
03/10/2016,25,52,9,1012
30/09/2016,23,55,10,1013
29/09/2016,25,49,9,1012
28/09/2016,27,45,10,1010
27/09/2016,28,50,3,1009
26/09/2016,29,38,10,1011
23/09/2016,27,39,10,1010
22/09/2016,29,37,18,1010
21/09/2016,30,39,14,1010
20/09/2016,30,41,9,1009
19/09/2016,31,35,13,1007
16/09/2016,29,37,11,1007
15/09/2016,31,38,7,1008
14/09/2016,31,35,9,1005
13/09/2016,30,34,9,1004
12/09/2016,31,30,7,1004
09/09/2016,31,32,14,1007
08/09/2016,29,46,14,1005
07/09/2016,31,26,14,1003
06/09/2016,27,30,5,1007
02/09/2016,26,29,8,1010
01/09/2016,27,21,14,1011
31/08/2016,28,19,19,1009
30/08/2016,29,18,16,1006
29/08/2016,29,26,9,1006
26/08/2016,30,29,5,1007
25/08/2016,31,38,1,1005
24/08/2016,31,30,6,1002
23/08/2016,31,34,2,1003
22/08/2016,33,38,5,1004
19/08/2016,34,27,8,1003
18/08/2016,34,24,9,1001
17/08/2016,35,28,6,999
16/08/2016,34,39,7,1000
15/08/2016,33,41,9,1002
12/08/2016,33,28,10,1002
11/08/2016,32,27,12,1004
10/08/2016,29,18,16,1006
09/08/2016,29,26,9,1006
08/08/2016,30,29,5,1007
05/08/2016,31,38,1,1005
04/08/2016,31,30,6,1002
03/08/2016,31,34,2,1003
02/08/2016,33,38,5,1004
01/08/2016,34,27,8,1003
29/07/2016,34,24,9,1001
28/07/2016,35,28,6,999
27/07/2016,34,39,7,1000
26/07/2016,33,41,9,1002
25/07/2016,33,28,10,1002
22/07/2016,32,27,12,1004
